TIPO_DE_MASA,LUGAR,LAT,LONG,FECHA,INDICE_INORGANICO,INDICE_CONTAMINACIÓN_BIOLOGICA,OXÍGENO
riachuelo,puente alsina,-34.659538,-58.416509,2025-09-03,1.2793431382702403,-0.16057754558091497,3.8
riachuelo,puente la noria,-34.705115,-58.46104,2025-09-03,1.2027153668018504,-0.18583793028517265,4.1
riachuelo,desembocadura,-34.637968,-58.356041,2025-09-03,-0.3726497395007819,-0.2673559153231718,1.5
río de la plata,"reserva ecológica, costanera sur",-34.6059,-58.344011,2025-09-10,-1.7074317888273227,-0.3250691000641442,9.4
río de la plata,"parque de los niños, costanera norte",-34.528196,-58.453765,2025-09-10,-1.6788148214808567,-0.3307292466958534,8.4
río de la plata,"club de pescadores, costanera norte",-34.560652,-58.398363,2025-09-10,-1.2952205390829823,-0.3300893780454564,8.9
lagos,lago soldati,-34.661886,-58.459898,2025-09-30,-0.010805139599597488,-0.26094257086697087,8.7
riachuelo,puente la noria,-34.705115,-58.46104,2025-10-01,1.910806301760953,-0.19479776449674296,0.09999999999999964
riachuelo,desembocadura,-34.637968,-58.356041,2025-10-01,-0.09793001461376245,-0.2673559153231718,2.3
riachuelo,puente alsina,-34.659538,-58.416509,2025-10-01,1.378060082939019,-0.2451444862049474,2.3
lagos,lago lugano,-34.679461,-58.447579,2025-10-07,0.2950794985834224,-0.2728335787697521,8.5
arroyos,ingreso arroyo medrano,-34.558488,-58.503429,2025-10-15,-0.005235459883807095,3.192667794568134,1.1
arroyos,desembocadura arroyo medrano,-34.537103,-58.458516,2025-10-15,0.026719099773395413,0.009130418152956829,0.19999999999999973
arroyos,ingreso arroyo maldonado,-34.634576,-58.529663,2025-10-21,-1.3327395090575531,0.4968825297293091,3.7
arroyos,desembocadura arroyo maldonado,-34.568729,-58.42083,2025-10-21,0.25628128623566215,-0.2428030331603636,2.5
riachuelo,desembocadura,-34.637968,-58.356041,2025-11-11,1.7704326096488203,-0.21423429442561898,1.1
arroyos,desembocadura arroyo cilz,-34.675416,-58.441243,2025-11-11,-1.003486455300955,0.08921706704981346,2.3
riachuelo,puente la noria,-34.705115,-58.46104,2025-11-11,1.6360865768739334,-0.19479776449674296,0.39999999999999947
riachuelo,puente alsina,-34.659538,-58.416509,2025-11-11,1.1314782681833222,-0.2504064940979594,0.6000000000000001
arroyos,ingreso arroyo cildañez,-34.670757,-58.504407,2025-11-11,-0.8893397138579942,-0.11741197578529787,7.5
río de la plata,"club de pescadores, costanera norte",-34.560652,-58.398363,2025-11-26,-1.6772249899616087,-0.3300893780454564,6.0
río de la plata,"parque de los niños, costanera norte",-34.528196,-58.453765,2025-11-26,-1.6788148214808567,-0.3307292466958534,6.7
río de la plata,"reserva ecológica, costanera sur",-34.6059,-58.344011,2025-11-26,-1.7074317888273227,-0.3250691000641442,7.5
riachuelo,puente la noria,-34.705115,-58.46104,2025-12-09,1.4227332947502065,-0.2086715112007036,0.39999999999999947
riachuelo,desembocadura,-34.637968,-58.356041,2025-12-09,-0.5015787524336969,-0.29124048847401557,1.2000000000000002
riachuelo,puente alsina,-34.659538,-58.416509,2025-12-09,1.2864868413100126,-0.2451444862049474,1.5
riachuelo,puente la noria,-34.705115,-58.46104,2026-01-14,0.7098623264365156,-0.23447314165383104,0.19999999999999973
riachuelo,puente alsina,-34.659538,-58.416509,2026-01-14,0.8383175515527093,-0.20065445600906173,1.0
riachuelo,desembocadura,-34.637968,-58.356041,2026-01-14,-0.3726497395007819,-0.2673559153231718,1.9
lagos,lago lugano,-34.679461,-58.447579,2026-02-02,0.11193301532540949,-0.2728335787697521,5.8
lagos,lago soldati,-34.661886,-58.459898,2026-02-02,-1.2169687651392822,-0.26094257086697087,8.3
riachuelo,puente alsina,-34.659538,-58.416509,2026-02-18,1.4696333245680258,-0.2451444862049474,1.7000000000000002
riachuelo,desembocadura,-34.637968,-58.356041,2026-02-18,1.2209931598747816,-0.21423429442561898,1.0
riachuelo,puente la noria,-34.705115,-58.46104,2026-02-18,1.72765981850294,-0.19479776449674296,1.5
arroyos,desembocadura arroyo medrano,-34.537103,-58.458516,2026-02-25,-0.8131515592502634,0.009130418152956829,0.2999999999999998
arroyos,ingreso arroyo medrano,-34.558488,-58.503429,2026-02-25,-0.46310166802883945,3.192667794568134,2.5
